"","","cl_lum","cl_den"
"1",1.746,2,3
"2",2.491,2,3
"3",1.249,1,3
"4",1.725,2,3
"5",2.465,2,2
"6",1.669,1,5
"7",1.641,1,3
"8",1.093,3,3
"9",1.936,2,4
"10",2.471,3,4
"11",2.565,3,2
"12",2.358,3,3
"13",2.187,3,2
"14",3.81,3,1
"15",2.389,2,3
"16",1.732,1,4
"17",2.206,1,3
"18",1.603,4,4
"19",1.65,4,4
"20",2.493,3,1
"21",1.781,4,4
"22",2.468,3,2
"23",2.137,3,3
"24",2.38,3,3
"25",2.035,3,2
"26",2.573,2,2
"27",1.629,3,4
"28",2.42,2,2
"29",2.27,3,3
"30",1.73,3,4
"31",2.585,4,1
"32",2.737,3,3
"33",2.551,3,1
"34",2.36,3,3
"35",1.461,2,3
"36",2.354,3,2
"37",1.473,2,4
"38",2.21,3,2
"39",2.369,3,2
"40",2.28,2,2
"41",1.438,2,3
"42",1.247,1,4
"43",1.164,1,4
"44",1.623,3,4
"45",2.29,1,2
"46",1.645,1,2
"47",2.228,1,2
"48",2.519,3,2
"49",1.528,2,4
"50",1.56,2,3
"51",2.296,2,3
"52",2.367,2,4
"53",1.881,1,3
"54",2.382,3,4
"55",2.444,2,2
"56",1.639,2,4
"57",2.367,4,1
"58",1.456,4,3
"59",1.902,3,3
"60",2.424,4,2
"61",2.47,3,2
"62",2.382,5,3
"63",1.946,2,4
"64",2.4,1,2
"65",1.832,1,4
"66",2.574,1,1
"67",1.692,2,3
"68",2.033,3,3
"69",2.408,2,3
"70",2.511,1,2
"71",2.384,1,2
"72",2.365,2,1
"73",1.862,4,2
"74",2.118,1,3
"75",1.486,2,4
"76",2.575,2,2
"77",2.32,1,2
"78",2.348,3,3
"79",1.64,4,4
"80",2.462,4,3
"81",1.578,1,4
"82",1.369,3,4
"83",1.266,1,3
"84",2.427,2,2
"85",1.746,1,3
"86",0.7865,2,4
"87",1.995,2,2
"88",1.835,1,3
"89",2.354,2,3
"90",1.963,2,2
"91",2.386,3,3
"92",2.411,3,2
"93",1.541,2,4
"94",1.735,3,3
